make,fuel-type,aspiration,body-style,drive-wheels,engine-type,fuel-system,curb-weight,power-weight,price
nissan,gas,std,hatchback,rwd,ohcv,mpfi,3071,19.2,17199
nissan,gas,turbo,hatchback,rwd,ohcv,mpfi,3139,15.7,19699
nissan,gas,std,hatchback,rwd,ohcv,mpfi,3139,19.6,18399
peugot,gas,std,sedan,rwd,l,mpfi,3020,31.1,11900
peugot,diesel,turbo,sedan,rwd,l,idi,3197,33.7,13200
peugot,gas,std,sedan,rwd,l,mpfi,3075,32.4,15580
peugot,diesel,turbo,sedan,rwd,l,idi,3252,34.2,16900
peugot,gas,std,sedan,rwd,l,mpfi,3075,31.7,16630
peugot,diesel,turbo,sedan,rwd,l,idi,3252,34.2,17950
peugot,gas,turbo,sedan,rwd,l,mpfi,3130,22.0,18150
plymouth,gas,std,hatchback,fwd,ohc,2bbl,1918,28.2,5572
plymouth,gas,turbo,hatchback,fwd,ohc,spdi,2128,20.9,7957
plymouth,gas,std,hatchback,fwd,ohc,2bbl,1967,28.9,6229
plymouth,gas,std,sedan,fwd,ohc,2bbl,1989,29.2,6692
plymouth,gas,std,sedan,fwd,ohc,2bbl,2191,32.2,7609
plymouth,gas,std,wagon,fwd,ohc,2bbl,2535,28.8,8921
porsche,gas,std,hatchback,rwd,ohc,mpfi,2778,19.4,22018
saab,gas,std,hatchback,fwd,ohc,mpfi,2658,24.2,11850
saab,gas,std,sedan,fwd,ohc,mpfi,2695,24.5,12170
saab,gas,std,hatchback,fwd,ohc,mpfi,2707,24.6,15040
saab,gas,std,sedan,fwd,ohc,mpfi,2758,25.1,15510
saab,gas,turbo,hatchback,fwd,dohc,mpfi,2808,17.6,18150
saab,gas,turbo,sedan,fwd,dohc,mpfi,2847,17.8,18620
subaru,gas,std,hatchback,fwd,ohcf,2bbl,2050,29.7,5118
subaru,gas,std,hatchback,fwd,ohcf,2bbl,2120,29.0,7053
subaru,gas,std,hatchback,4wd,ohcf,2bbl,2240,30.7,7603
subaru,gas,std,sedan,fwd,ohcf,2bbl,2145,26.2,7126
subaru,gas,std,sedan,fwd,ohcf,2bbl,2190,26.7,7775
subaru,gas,std,sedan,fwd,ohcf,mpfi,2340,24.9,9960
subaru,gas,std,sedan,4wd,ohcf,2bbl,2385,29.1,9233
subaru,gas,turbo,sedan,4wd,ohcf,mpfi,2510,22.6,11259
subaru,gas,std,wagon,fwd,ohcf,2bbl,2290,27.9,7463
subaru,gas,std,wagon,fwd,ohcf,mpfi,2455,26.1,10198
subaru,gas,std,wagon,4wd,ohcf,2bbl,2420,29.5,8013
subaru,gas,turbo,wagon,4wd,ohcf,mpfi,2650,23.9,11694
toyota,gas,std,hatchback,fwd,ohc,2bbl,1985,32.0,5348
toyota,gas,std,hatchback,fwd,ohc,2bbl,2040,32.9,6338
toyota,gas,std,hatchback,fwd,ohc,2bbl,2015,32.5,6488
toyota,gas,std,wagon,fwd,ohc,2bbl,2280,36.8,6918
toyota,gas,std,wagon,4wd,ohc,2bbl,2290,36.9,7898
toyota,gas,std,wagon,4wd,ohc,2bbl,3110,50.2,8778
toyota,gas,std,sedan,fwd,ohc,2bbl,2081,29.7,6938
toyota,gas,std,hatchback,fwd,ohc,2bbl,2109,30.1,7198
toyota,diesel,std,sedan,fwd,ohc,idi,2275,40.6,7898
toyota,diesel,std,hatchback,fwd,ohc,idi,2275,40.6,7788
toyota,gas,std,sedan,fwd,ohc,2bbl,2094,29.9,7738
toyota,gas,std,hatchback,fwd,ohc,2bbl,2122,30.3,8358
toyota,gas,std,sedan,fwd,ohc,2bbl,2140,30.6,9258
toyota,gas,std,sedan,rwd,ohc,2bbl,2169,31.0,8058
toyota,gas,std,hatchback,rwd,ohc,2bbl,2204,31.5,8238
toyota,gas,std,sedan,rwd,dohc,mpfi,2265,20.2,9298
toyota,gas,std,hatchback,rwd,dohc,mpfi,2300,20.5,9538
toyota,gas,std,hardtop,rwd,ohc,mpfi,2540,21.9,8449
toyota,gas,std,hardtop,rwd,ohc,mpfi,2536,21.9,9639
toyota,gas,std,hatchback,rwd,ohc,mpfi,2551,22.0,9989
toyota,gas,std,hardtop,rwd,ohc,mpfi,2679,23.1,11199
toyota,gas,std,hatchback,rwd,ohc,mpfi,2714,23.4,11549
toyota,gas,std,convertible,rwd,ohc,mpfi,2975,25.6,17669
toyota,gas,std,sedan,fwd,ohc,mpfi,2326,25.3,8948
toyota,diesel,turbo,sedan,fwd,ohc,idi,2480,34.0,10698
toyota,gas,std,hatchback,fwd,ohc,mpfi,2414,26.2,9988
toyota,gas,std,sedan,fwd,ohc,mpfi,2414,26.2,10898
toyota,gas,std,hatchback,fwd,ohc,mpfi,2458,26.7,11248
toyota,gas,std,hatchback,rwd,dohc,mpfi,2976,18.5,16558
toyota,gas,std,hatchback,rwd,dohc,mpfi,3016,18.7,15998
toyota,gas,std,sedan,rwd,dohc,mpfi,3131,20.1,15690
volkswagen,diesel,std,sedan,fwd,ohc,idi,2261,43.5,7775
volkswagen,gas,std,sedan,fwd,ohc,mpfi,2209,26.0,7975
volkswagen,diesel,std,sedan,fwd,ohc,idi,2264,43.5,7995
volkswagen,gas,std,sedan,fwd,ohc,mpfi,2212,26.0,8195
volkswagen,gas,std,sedan,fwd,ohc,mpfi,2275,26.8,8495
volkswagen,diesel,turbo,sedan,fwd,ohc,idi,2319,34.1,9495
volkswagen,gas,std,sedan,fwd,ohc,mpfi,2300,23.0,9995
volkswagen,gas,std,hatchback,fwd,ohc,mpfi,2221,24.7,9980
volvo,gas,std,sedan,rwd,ohc,mpfi,2912,25.5,12940
volvo,gas,std,wagon,rwd,ohc,mpfi,3034,26.6,13415
volvo,gas,std,sedan,rwd,ohc,mpfi,2935,25.7,15985
volvo,gas,std,wagon,rwd,ohc,mpfi,3042,26.7,16515
volvo,gas,turbo,sedan,rwd,ohc,mpfi,3045,18.8,18420
volvo,gas,turbo,wagon,rwd,ohc,mpfi,3157,19.5,18950
volvo,gas,std,sedan,rwd,ohc,mpfi,2952,25.9,16845
volvo,gas,turbo,sedan,rwd,ohc,mpfi,3049,19.1,19045
volvo,gas,std,sedan,rwd,ohcv,mpfi,3012,22.5,21485
volvo,diesel,turbo,sedan,rwd,ohc,idi,3217,30.3,22470
volvo,gas,turbo,sedan,rwd,ohc,mpfi,3062,26.9,22625
